SessionTime,TimeStamp,Averaging,Valid,log,Muse_Artifact,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1730346406871,1730346405917,1,true,,,1.52918,5.01557,2.44557,21.84792,0.84242,3.92383,1.14696,6.58446,1.38016,3.74636,1.7536,6.74637,0.54806,2.17295,1.04549,1.7662,0.2787,0.85171,0.56296,0.4227,19.0,175.0,1130.0,1223.0,1.003
1730346406871,1730346406919,1,true,,,1.45094,9.9552,2.43064,34.94459,0.93581,6.93857,1.08283,10.37863,1.60642,3.84132,1.71672,6.65472,0.85969,2.90563,1.07974,2.35266,0.35054,0.8492,0.56595,0.37683,45.1,2628.3,2968.4,3093.4,0.999
1730346406871,1730346407918,1,true,,,2.26861,13.98524,2.43064,34.96874,0.97721,8.908,1.08283,10.3815,1.42695,3.47184,1.71672,6.64997,1.46191,2.8682,1.07974,2.38205,0.47779,0.78712,0.56595,0.38238,16.4,3463.6,461.8,408.2,1.004
1730346406871,1730346408917,1,true,,,2.33443,13.98524,2.43064,34.96874,0.71228,8.908,1.08283,10.3815,1.04583,3.47184,1.71672,6.64997,0.80166,2.8682,1.07974,2.38205,0.44317,0.78712,0.56595,0.38238,19.0,201.0,491.0,509.0,1.002
1730346406871,1730346409918,1,true,,,0.36903,13.98524,9.61524,34.96874,0.48455,8.908,13.11596,10.3815,0.86105,3.47184,12.96851,6.64997,0.77992,2.8682,1.7155,2.38205,0.80031,0.78712,0.512,0.38238,41.0,2742.0,2914.0,3225.0,1.023
1730346406871,1730346410919,1,true,,Blink Detected,1.06008,13.98524,21.72001,34.96874,0.87692,8.908,47.30532,10.3815,1.09653,3.47184,31.39641,6.64997,1.57946,2.8682,2.28502,2.38205,1.60063,0.78712,0.54439,0.38238,360.0,2398.0,17412.0,11370.0,1.015
1730346406871,1730346411918,1,true,,,5.46512,13.98524,21.72001,34.96874,1.73273,8.908,47.30532,10.3815,1.01011,3.47184,31.39641,6.64997,2.09117,2.8682,2.28502,2.38205,1.67298,0.78712,0.54439,0.38238,26.3,16838.0,3053.3,3528.0,1.004
1730346406871,1730346412919,1,true,,,1.04932,13.98524,21.72001,34.96874,0.71687,8.908,47.30532,10.3815,1.45044,3.47184,31.39641,6.64997,1.04249,2.8682,2.28502,2.38205,0.86964,0.78712,0.54439,0.38238,60.8,6222.5,4803.6,4807.3,1.003
1730346406871,1730346413919,1,true,,,1.8268,13.98524,21.72001,34.96874,1.09724,8.908,47.30532,10.3815,2.12799,3.47184,31.39641,6.64997,1.24638,2.8682,2.28502,2.38205,1.57116,0.78712,0.54439,0.38238,49.0,196.0,856.0,828.0,1.003
1730346406871,1730346414918,1,true,,,1.4713,7.25154,9.74294,15.55679,1.20207,4.56836,23.56785,6.45848,2.25637,2.73388,17.67584,5.09683,1.7918,2.79209,1.92868,2.04513,1.24128,0.90793,0.54231,0.42101,28.5,69.5,25.0,30.5,1.004
1730346406871,1730346415919,1,true,,,0.87388,1.1398,0.4973,0.94237,0.84316,1.04578,1.54985,1.12388,1.48003,2.07816,2.5175,3.00892,1.48703,2.51414,0.90153,1.08166,0.74586,1.27251,0.47968,0.56625,21.0,67.0,32.0,32.0,1.005
1730346406871,1730346416918,1,true,,,0.5342,1.23683,1.0566,1.26946,0.6711,0.97266,1.57598,1.47836,1.0876,1.89657,2.41529,3.8883,1.1587,1.58752,1.09878,1.14741,0.63521,1.2372,0.52897,0.46835,19.0,69.0,28.0,25.0,1.004
1730346406871,1730346417918,1,true,,,0.74629,1.16209,2.04324,1.34205,0.33628,1.17861,1.08128,1.20515,0.58695,1.24277,1.88964,2.07778,1.05838,1.38077,0.88558,0.99063,0.65158,1.15321,0.55269,0.44291,28.0,57.0,27.0,24.0,1.004
1730346406871,1730346418918,1,true,,,1.13634,0.85526,1.55457,1.00524,0.55302,1.02099,0.94337,0.91163,0.61827,1.08525,1.89907,1.64999,0.96623,1.93847,0.79239,1.03691,0.67361,0.87458,0.40752,0.49028,15.0,59.0,26.0,34.0,1.003
1730346406871,1730346419918,1,true,,,0.78161,2.06419,0.83071,0.83255,0.46073,0.75494,1.37518,1.24563,0.58064,2.14452,2.29187,2.64856,0.82344,2.00461,0.98539,1.15822,0.44962,1.06434,0.3316,0.43778,20.0,78.2,27.6,26.5,1.003
1730346406871,1730346420917,1,true,,,1.59265,4.28598,1.45922,1.90792,0.57988,1.29799,1.20765,1.23581,0.80074,2.47868,2.52936,3.27167,0.523,1.86995,0.93332,0.78589,0.34741,1.18957,0.3417,0.45034,115.6,133.0,1113.5,882.5,1.001
1730346406871,1730346421918,1,true,,,3.40541,6.79548,1.62986,2.63015,0.57743,3.48201,1.42072,1.79664,0.73392,1.63388,2.31175,2.80524,0.57226,1.61113,1.16982,0.75837,0.28637,1.0184,0.31436,0.33348,13.0,90.0,96.0,116.0,1.004
1730346406871,1730346422918,1,true,,,1.60136,6.92899,7.4986,1.97916,0.46821,2.96545,3.40447,1.69578,0.84635,1.7511,2.17315,2.75569,0.62573,1.73488,1.23629,0.78549,0.27462,0.73877,0.45253,0.36787,13.0,83.0,249.0,304.0,1.002
1730346406871,1730346423918,1,true,,Blink Detected,2.13634,4.56131,1.78567,1.41342,1.41654,1.52816,1.43731,1.44607,1.24678,2.46479,1.90994,2.8044,0.49477,1.3556,1.06121,0.73429,0.39802,0.60252,0.38179,0.47112,120.0,351.0,5084.0,4052.0,1.003
1730346406871,1730346424918,1,true,,,4.30685,8.83263,0.408,1.31178,1.96481,2.79615,0.67093,1.48293,1.5423,4.56867,1.49317,2.73464,1.06074,2.60453,0.88322,0.72626,0.6709,1.24374,0.33764,0.45389,38.0,193.0,263.0,317.0,1.003
1730346406871,1730346425919,1,true,,,1.17891,10.06862,0.408,1.31178,0.85257,3.14702,0.67093,1.48293,1.21001,6.14908,1.49317,2.73464,1.82453,4.53774,0.88322,0.72626,1.55607,1.75485,0.33764,0.45389,55.0,343.0,334.0,394.0,1.001
1730346406871,1730346426918,1,true,,,0.85243,6.57855,1.36845,2.86391,0.85049,2.01651,1.8174,2.81112,1.15178,4.41703,2.88981,4.24923,2.42734,4.49697,1.30197,1.12792,2.20389,1.67086,0.50609,0.53966,98.5,527.7,175.1,57.7,1.003
1730346406871,1730346427918,1,true,,,4.59462,6.57855,13.37889,5.89413,1.94455,2.01651,11.34436,4.03422,2.69873,4.41703,10.27283,6.16808,1.93718,4.49697,2.84885,2.28229,1.65997,1.67086,1.45258,0.97125,59.1,78.6,69.9,34.9,1.004
1730346406871,1730346428919,1,true,,,4.35642,2.35061,0.82209,1.29262,1.43744,0.46993,1.46822,1.41602,2.44152,0.72013,2.20541,2.94137,1.95438,2.1299,1.62633,1.5174,1.08843,1.269,0.84448,0.58684,30.5,53.0,23.5,31.0,1.002
1730346406871,1730346429918,1,true,,,0.51568,1.34695,0.55878,0.87563,0.48231,0.30864,0.83194,1.12073,1.78583,1.27573,1.67656,3.18127,1.56063,1.92225,1.42886,1.33506,1.05981,1.2657,0.6122,0.45503,36.0,65.0,33.0,37.0,1.004
1730346406871,1730346430918,1,true,,,0.39324,0.7385,1.08495,1.41185,0.43844,0.41123,0.93493,0.98823,1.79916,2.16317,3.19661,5.44829,1.73544,1.93339,1.21647,0.96752,0.88129,1.49951,0.64441,0.49009,27.0,65.0,29.0,33.0,1.004
1730346406871,1730346431918,1,true,,,0.41885,0.48484,1.05378,1.00152,0.28638,0.42708,0.93661,1.05133,1.31801,2.37159,3.11172,6.64798,1.73265,2.19149,1.13037,1.07835,0.63788,1.44944,0.43713,0.42981,31.0,56.0,21.0,31.0,1.003
1730346406871,1730346432919,1,true,,,0.48026,0.3995,0.83699,1.03205,0.39599,0.59936,0.77268,0.87955,1.3699,1.55385,2.56886,4.66993,1.82054,1.84612,0.97807,1.09034,0.54389,1.31689,0.35473,0.42553,25.0,71.0,30.0,41.0,1.003
