SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1728772951028,1728772951068,,1.0,4.06627,1.06182,13.5828,14.20862,1.72268,1.09363,4.73051,5.25181,2.68181,2.05691,4.73073,4.73131,1.06779,0.71312,1.48237,2.48777,0.53994,0.33128,0.5856,0.71586,110.5,26.0,1630.0,1267.0,0.00598
1728772951028,1728772952064,,1.0,6.34184,0.89332,16.49824,16.76984,1.91182,0.79363,5.63416,5.77208,3.04418,1.7962,4.65326,4.68528,1.16667,0.64498,1.59583,2.90195,0.54739,0.28244,0.56565,0.72939,61.5,15.0,674.5,533.0,0.00708
1728772951028,1728772953065,,1.0,3.21159,0.47923,16.49824,16.76984,1.20622,0.85145,5.63416,5.77208,1.71972,1.05031,4.65326,4.68528,0.70516,0.70218,1.59583,2.90195,0.37621,0.23202,0.56565,0.72939,80.5,39.0,2071.5,1725.5,0.00964
1728772951028,1728772954067,,1.0,6.45604,3.30338,16.49824,16.76984,2.91851,2.52907,5.63416,5.77208,1.90794,1.97025,4.65326,4.68528,0.88571,0.80883,1.59583,2.90195,0.37219,0.31761,0.56565,0.72939,83.0,61.0,2093.0,1759.5,0.01044
1728772951028,1728772955066,,1.0,3.3156,3.7899,23.48296,27.06008,2.09661,2.49121,16.75295,13.26434,1.98768,1.80746,21.71353,16.21141,1.44232,1.22527,2.77996,3.84455,0.54914,0.54465,0.71258,0.76699,40.5,43.0,367.0,357.0,0.01129
1728772951028,1728772956068,,1.0,0.7959,1.12942,22.46561,22.2691,1.25476,0.75448,15.16512,11.4619,1.58256,1.3485,20.0844,15.43929,1.71056,1.28901,2.61831,3.96315,1.08495,0.69061,0.6672,0.8211,53.0,34.5,263.5,234.0,0.00494
1728772951028,1728772957068,,1.0,1.55331,2.06823,17.19329,15.25995,1.00056,1.33622,11.90881,9.01842,1.04148,1.76665,14.4745,15.30794,1.8603,1.02068,2.10662,3.29436,1.21937,0.42238,0.5199,0.74095,36.5,53.0,288.0,347.0,0.0094
1728772951028,1728772958069,,1.0,0.87575,2.925,6.82039,16.26168,0.45091,2.53092,4.35294,8.33078,1.48508,2.60332,8.50533,14.08734,1.54052,1.48308,1.28203,2.79334,0.7705,0.43737,0.4258,0.63321,28.5,57.5,291.5,336.5,0.00781
1728772951028,1728772959071,,1.0,0.74034,1.66753,2.11858,1.8634,0.44832,1.74129,1.01546,0.61583,1.52485,2.27499,1.70642,2.80222,0.9688,1.27223,1.12517,1.27637,0.58901,0.39636,0.43824,0.40094,25.0,13.0,76.5,63.0,0.00653
1728772951028,1728772960071,,1.0,0.75416,0.3026,1.58829,1.53048,0.2735,0.38718,0.90339,1.25621,1.41767,0.95474,2.58401,3.64782,0.85741,0.60845,1.0253,1.03411,0.42912,0.38771,0.31752,0.40798,26.5,17.0,84.0,73.0,0.00745
1728772951028,1728772961072,,1.0,0.85739,0.36735,0.79739,0.85316,0.26635,0.43986,1.70453,2.05357,1.0691,1.73373,6.42249,6.16315,1.00662,0.9012,1.32355,1.60795,0.52325,0.50413,0.28773,0.42001,26.5,24.0,107.0,82.0,0.00812
1728772951028,1728772962071,,1.0,0.39168,0.46579,0.90354,0.69982,0.44136,0.6109,2.68981,2.08209,0.78158,2.05155,7.92616,7.45912,1.23366,1.01715,1.20258,1.6748,0.49747,0.58052,0.30247,0.34817,27.0,26.0,95.0,74.5,0.00824
1728772951028,1728772963069,,1.0,0.59211,0.69687,1.42299,1.5792,0.64013,0.7592,2.07936,1.57026,1.21828,1.18324,3.62276,4.13089,1.03,1.05514,0.88439,1.56199,0.68436,0.57422,0.45723,0.43918,29.0,27.0,85.5,79.5,0.00726
1728772951028,1728772964071,,1.0,0.48161,0.45121,1.40348,1.40718,0.63005,0.64685,1.27389,1.47073,1.2401,1.02951,2.76962,5.05864,1.2581,0.98142,0.98687,1.33571,0.93616,0.50739,0.57647,0.64239,27.0,19.0,85.0,80.0,0.01025
1728772951028,1728772965072,,1.0,0.32245,0.3185,1.62966,1.9841,0.59208,0.33848,1.2233,1.87994,1.2759,0.82798,2.40463,4.34594,0.87553,0.76417,0.85105,1.14055,0.81819,0.51461,0.31992,0.662,23.0,18.0,81.5,75.0,0.00702
1728772951028,1728772966072,,1.0,0.36159,0.337,1.18278,1.40343,0.72232,0.32645,0.95218,1.27147,0.99553,0.7576,2.78832,2.72499,0.95529,0.79942,0.72019,1.42765,0.55436,0.52376,0.26459,0.42119,25.0,16.0,76.5,62.0,0.00946
1728772951028,1728772967073,,1.0,0.25642,0.37934,0.66139,1.18187,0.72438,0.29092,0.99243,1.15096,0.83357,0.56692,3.24488,2.44506,1.15267,0.7348,0.88644,1.38003,0.51241,0.47877,0.39263,0.43478,28.0,22.0,83.5,66.5,0.00708
1728772951028,1728772968074,,1.0,0.44461,0.82948,1.12961,1.50018,0.694,0.74901,1.48157,1.44146,0.59167,0.81142,1.91439,2.27516,1.28068,0.57907,1.04069,0.95396,0.69354,0.69927,0.402,0.44711,28.0,24.0,79.5,70.0,0.00574
1728772951028,1728772969074,,1.0,0.6972,0.79108,1.71895,1.53909,0.90258,1.08814,1.28098,1.24748,0.7071,1.07301,2.57478,2.30361,1.25697,0.55353,0.98769,1.11367,0.56173,0.39824,0.28923,0.36324,27.0,19.0,81.5,69.5,0.00726
1728772951028,1728772970074,,1.0,0.47329,0.50193,1.54653,1.23731,0.72428,0.61294,1.26084,1.11539,0.75083,1.12204,3.15231,3.21295,1.26618,0.66541,0.83586,1.04807,0.56108,0.49733,0.279,0.40873,24.0,19.0,79.0,66.0,0.00458
1728772951028,1728772971074,,1.0,0.3667,0.4844,1.75715,1.07671,0.3845,0.66514,1.38432,1.23995,0.90884,1.15919,3.2523,3.18699,1.35182,0.77748,0.76817,0.95164,0.68663,0.53171,0.35886,0.46894,29.0,19.5,80.5,59.5,0.0141
1728772951028,1728772972073,,1.0,0.55159,0.63954,1.34904,0.97566,0.32477,0.51557,0.94644,1.08437,1.06259,1.14961,3.24166,2.55591,1.55392,0.86084,0.78429,1.0756,0.62509,0.40051,0.31556,0.42568,25.5,18.0,83.0,66.0,0.00879
1728772951028,1728772973075,,1.0,0.26363,0.55883,1.28937,1.25153,0.41873,0.4671,1.2711,1.55938,0.84621,1.19268,3.00498,3.34571,1.37825,0.66289,0.70132,1.06101,0.54398,0.30471,0.16616,0.37298,23.5,17.0,78.5,65.5,0.00745
1728772951028,1728772974075,,1.0,0.20454,0.36373,1.41667,1.04757,0.67005,0.89154,1.46197,1.93198,0.81177,1.57821,3.22996,2.45812,1.23065,0.54319,1.0271,1.2321,0.71347,0.29823,0.30328,0.40486,28.5,19.5,82.0,64.0,0.008
1728772951028,1728772975077,,1.0,0.57722,0.60257,1.14803,0.79882,0.81577,0.69594,1.08334,1.08435,1.33914,1.46799,4.09618,3.82363,1.36308,0.65102,1.18761,1.28997,0.60984,0.41552,0.44532,0.48113,28.5,18.0,78.5,74.0,0.00641
1728772951028,1728772976078,,1.0,0.62302,0.46619,1.08192,1.50821,0.62036,0.54947,0.86052,0.73416,1.43179,1.05094,4.60918,5.76442,1.06834,0.62288,1.04387,1.61398,0.47106,0.3816,0.39902,0.59816,25.0,19.5,79.0,80.5,0.00854
1728772951028,1728772977079,,1.0,0.39469,0.66362,0.93603,1.66578,0.37716,0.69841,1.56341,1.50531,0.89864,1.26975,3.60867,5.54424,1.06312,0.65451,0.87494,1.80204,0.60295,0.31964,0.39742,0.50337,25.5,19.0,93.0,69.0,0.00909
1728772951028,1728772978077,,1.0,0.39894,0.88186,1.67592,1.52644,0.47829,0.55263,1.41578,1.39605,1.28599,1.08514,6.64213,3.52237,1.05362,0.50093,0.87369,1.11968,0.72774,0.32586,0.38668,0.41207,25.0,20.0,90.5,64.5,0.01337
1728772951028,1728772979078,,1.0,0.79163,0.85705,1.07994,1.47938,0.77087,0.57278,1.21669,1.6976,1.27151,0.87855,5.8741,2.68951,0.89922,0.46569,1.08186,1.07319,0.57209,0.51832,0.33511,0.46648,30.0,19.0,72.0,73.0,0.00909
1728772951028,1728772980075,,1.0,0.91972,0.6463,0.84021,1.71964,0.96304,0.47476,1.07031,1.95415,1.32618,0.70956,3.12081,3.38087,0.9794,0.63298,1.00107,1.14772,0.47718,0.4297,0.31018,0.39015,28.5,16.5,80.5,69.5,0.00739
1728772951028,1728772981078,,1.0,0.55709,0.29624,1.09441,1.34405,0.62415,0.63334,0.78356,1.84021,1.10166,0.93657,3.31281,3.63813,1.21773,0.71492,1.0345,1.37056,0.49875,0.30573,0.39116,0.46259,27.5,20.5,74.0,73.5,0.013
1728772951028,1728772982079,,1.0,0.58829,0.27199,0.92327,1.58558,0.68411,0.67624,0.90466,2.02459,1.08791,1.26102,2.91668,2.57102,1.3842,1.04069,1.00549,1.64398,0.69253,0.39594,0.3729,0.53006,31.0,21.0,89.0,72.0,0.00623
1728772951028,1728772983076,,1.0,0.49264,0.2322,1.70074,1.52687,0.58343,0.30166,1.61855,1.34197,1.20227,1.79444,4.05097,3.21527,1.49463,0.92075,1.22424,1.40114,0.77037,0.42335,0.37682,0.47333,27.5,18.0,92.0,80.5,0.01312
1728772951028,1728772984081,,1.0,0.58118,0.34794,1.80113,1.57916,0.33811,0.47123,1.7754,1.59982,1.02392,1.49071,4.07877,3.17695,1.61182,0.89969,1.06318,0.98181,0.61042,0.30994,0.36205,0.42896,28.5,17.0,81.0,71.0,0.00891
