SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1728444430479,1728444430780,,1.0,1.42968,1.48188,1.86295,3.03603,0.49002,0.6776,0.70066,1.47145,0.97371,1.27955,2.25973,2.43462,0.82662,1.42364,1.99259,2.76199,0.47444,1.22383,0.92182,0.92579,75.5,46.0,150.5,1135.0,0.01282
1728444430479,1728444431776,,1.0,1.48734,0.86279,1.72398,4.16162,0.42368,0.64761,1.07457,2.2365,2.14353,1.39583,3.47529,4.33355,1.1751,1.80714,2.19518,3.20249,0.47992,1.3953,0.87625,1.25134,70.0,59.0,161.5,1104.5,0.01367
1728444430479,1728444432777,,1.0,0.9381,0.76719,1.71573,1.62384,1.10668,0.93945,1.84048,1.55182,1.9837,1.44954,3.44833,4.16716,1.31899,2.3486,2.5672,2.89431,0.39151,2.12986,0.82653,0.98914,77.0,61.0,162.0,1064.5,0.0058
1728444430479,1728444433777,,1.0,1.01916,1.26153,2.12474,1.59614,1.16406,0.77262,0.93576,0.91265,1.54046,1.22957,3.62354,3.12168,1.38416,1.69967,2.39502,3.0648,0.45845,1.52199,0.79624,1.02557,70.5,54.0,166.5,1091.5,0.00739
1728444430479,1728444434777,,1.0,0.91504,1.64993,2.49362,2.53208,1.22253,0.90279,0.77486,1.33901,1.26995,1.33595,4.2639,3.40201,1.03944,1.79446,1.83148,2.80146,0.43282,1.66662,0.93835,1.05865,66.5,56.0,167.5,1059.5,0.00641
1728444430479,1728444435777,,1.0,2.56251,1.3613,3.80705,2.97949,1.266,0.97925,2.02876,2.19916,1.84128,1.27769,2.33908,2.27115,0.98681,1.93657,1.86513,2.81978,0.37197,1.71275,0.77157,0.69094,72.5,47.0,182.5,1015.5,0.00708
1728444430479,1728444436777,,1.0,2.33676,0.98183,4.29418,3.1876,1.01813,1.33088,2.2464,1.67769,2.22641,1.34402,3.32381,2.65369,1.06698,1.7641,1.84702,2.3665,0.51527,1.22547,0.77352,0.71903,68.5,46.5,195.5,1005.5,0.00739
1728444430479,1728444437778,,1.0,1.38826,0.79138,3.93552,2.70406,1.05384,1.32834,2.30934,2.03221,2.68433,1.38816,4.12011,3.87666,0.75975,2.19513,1.89893,2.05427,0.54623,1.43911,0.70829,0.85253,70.5,55.0,168.0,992.5,0.0097
1728444430479,1728444438778,,1.0,1.59571,0.80174,2.65896,2.17865,0.95898,1.04155,2.00019,1.92748,1.87243,1.74105,5.35304,7.30572,1.25709,2.29262,2.85397,2.51181,0.3759,1.69828,0.55564,0.9607,68.5,58.5,199.0,1041.5,0.01141
1728444430479,1728444439778,,1.0,1.20213,1.71077,2.89871,2.73101,0.765,1.26626,1.79702,1.37809,1.83287,3.04124,6.41938,7.9749,1.36945,1.65437,3.45479,3.00336,0.47992,1.76418,0.81758,0.98208,66.0,68.5,179.5,1048.5,0.00952
1728444430479,1728444440779,,1.0,1.50476,1.8885,1.30996,2.5169,0.57918,1.26015,1.18386,1.43484,2.78799,3.03801,4.23259,4.00395,0.94789,1.6427,2.12001,2.45443,0.57994,1.63552,0.76779,0.77967,61.0,49.0,144.0,966.0,0.00684
1728444430479,1728444441779,,1.0,0.62716,0.57892,0.91214,0.95446,0.57537,1.17467,1.19502,1.87855,2.37946,1.7784,3.43022,2.22505,0.98743,2.32,1.9392,2.92621,0.4364,1.70051,0.56345,0.69264,63.5,55.5,168.0,1300.5,0.00879
1728444430479,1728444442778,,1.0,1.60451,0.85452,1.63595,1.03943,1.15238,0.78231,1.40452,2.59964,2.07756,1.63407,3.13009,1.96539,0.91997,2.54883,1.67075,3.12552,0.33283,1.73712,0.59879,0.71502,68.5,46.0,156.5,1306.0,0.01086
1728444430479,1728444443780,,1.0,1.82135,0.94974,1.99659,1.51222,1.22663,0.5324,0.98863,0.67775,1.7588,1.14311,2.97751,2.82276,0.72968,1.9329,1.41274,2.35571,0.33427,0.98545,0.62673,0.92652,61.5,39.0,149.5,950.5,0.00824
1728444430479,1728444444779,,1.0,1.05168,0.33954,1.98424,1.39939,0.96023,0.50665,0.88392,1.01687,1.57499,1.09733,3.42646,2.73308,0.91705,1.89302,1.51297,2.06523,0.39465,1.2375,0.71734,0.9605,56.0,38.0,159.0,965.5,0.01001
1728444430479,1728444445779,,1.0,0.87134,0.35396,1.48256,2.21634,0.71987,0.66639,1.36207,1.53838,1.60386,1.15426,3.45812,2.5722,0.96854,2.16268,1.81999,2.42376,0.46302,1.4502,0.68476,0.75763,55.0,52.5,160.0,963.0,0.00873
1728444430479,1728444446779,,1.0,0.56292,0.68025,1.78192,3.22725,1.28844,0.96886,1.91474,2.90778,2.07319,1.06556,3.08644,2.62964,1.14222,2.06315,1.73856,2.41763,0.43283,1.57734,0.65545,0.70792,57.5,46.5,166.0,958.5,0.00629
1728444430479,1728444447781,,1.0,1.06253,0.70952,1.34778,2.45337,1.39622,0.45804,1.92914,1.6908,1.88202,1.104,3.98119,3.16169,1.00042,1.75134,1.77605,2.64429,0.38177,1.65908,0.58784,0.88078,57.0,44.5,170.0,972.0,0.0097
