SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1729102271388,1729102271420,,1.0,2.5809,3.40727,4.27384,22.95676,1.65733,2.17568,2.13499,6.32459,1.81368,3.85463,3.05773,10.14722,4.50604,4.37412,3.55623,9.11443,3.69135,3.27027,1.63896,5.54843,126.0,118.0,1179.0,1400.0,0.01263
1729102271388,1729102272414,,1.0,0.78523,1.7874,2.65224,2.03083,0.43548,0.76306,1.05082,1.92091,0.73282,3.07089,8.51638,2.9259,2.03552,3.08785,1.81532,1.5702,1.2877,2.06965,1.78834,1.884,24.5,46.0,1051.5,765.5,0.01239
1729102271388,1729102273417,,1.0,0.99048,2.30139,2.05912,2.30699,0.87866,0.9716,1.06494,2.59614,0.97594,1.12054,9.36551,3.16274,0.93207,2.30159,1.99074,1.34692,0.60463,1.48729,1.22825,1.74025,89.0,368.0,5585.0,6306.5,0.00952
1729102271388,1729102274416,,1.0,5.11052,5.68862,1.40767,2.66794,4.73845,1.85132,0.87643,2.2848,2.11218,1.54801,3.63059,2.1856,0.66974,2.496,2.53387,1.39799,0.51046,1.41637,1.08176,1.28786,238.0,391.0,5845.0,6671.5,0.01532
1729102271388,1729102275419,,1.0,10.58081,2.5902,1.40767,2.66794,3.37085,1.45208,0.87643,2.2848,2.88211,2.11903,3.63059,2.1856,1.31818,2.88358,2.53387,1.39799,0.74934,2.377,1.08176,1.28786,214.0,212.5,3585.5,3723.0,0.03516
1729102271388,1729102276419,,1.0,4.33545,1.69372,1.40767,2.90065,2.03258,1.36061,0.87643,2.16313,2.56646,1.75684,3.63059,2.39483,2.1858,5.49426,2.53387,1.44644,1.20134,6.00463,1.08176,1.40002,227.0,187.5,1344.5,1279.5,0.01166
1729102271388,1729102277420,,1.0,0.3962,3.00344,6.19422,5.4886,0.70365,0.49736,1.99146,1.31031,1.65329,1.43717,3.26991,4.53247,1.84155,3.08723,1.82413,1.67192,0.81045,3.51263,0.8131,2.10857,185.5,115.0,1114.5,835.0,0.03851
1729102271388,1729102278422,,1.0,0.58373,3.47891,4.5834,9.58613,0.58898,0.87695,1.4544,1.73891,1.7529,1.36398,2.67485,7.53966,1.63567,3.96464,2.08974,4.16459,0.98201,4.16857,1.10795,3.207,372.0,171.5,1427.5,989.5,0.04688
1729102271388,1729102279424,,1.0,4.47733,3.68507,4.04741,12.81831,1.18199,1.77562,1.30183,3.5065,1.90466,2.67215,1.92834,13.63926,4.80677,4.48866,2.21503,9.68966,6.0218,6.76885,1.28875,4.21942,251.5,181.0,1657.5,1142.0,0.05145
1729102271388,1729102280423,,1.0,3.854,4.28602,48.25285,14.79782,1.08255,1.37543,31.11514,14.80495,1.42562,2.73928,54.54591,12.19786,5.60644,3.31829,23.39813,9.64084,6.63484,8.07156,7.16533,6.10612,220.0,173.0,1946.0,1129.0,0.03558
