SessionTime,TimeStamp,Averaging,Valid,log,Muse_Artifact,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1729830967407,1729830966446,1,true,,,4.81659,4.85389,2.95046,1.62967,1.55171,2.23342,2.65901,1.92748,1.95637,2.94944,3.51277,1.24145,0.63523,0.84524,3.75967,1.50866,0.16686,0.23363,3.68731,0.41902,142.0,54.0,3263.0,3093.0,1.005
1729830967407,1729830967446,1,true,,,12.48993,4.19469,2.95046,1.62967,4.1133,2.2635,2.65901,1.92748,2.78914,2.79402,3.51277,1.24145,0.96197,1.21846,3.75967,1.50866,0.26316,0.47485,3.68731,0.41902,115.0,43.0,3485.0,3028.0,1.008
1729830967407,1729830968446,1,true,,Blink Detected,18.77846,3.95822,2.95046,1.62967,5.03698,1.71597,2.65901,1.92748,2.93218,2.29208,3.51277,1.24145,1.03252,1.39811,3.75967,1.50866,0.31355,0.67975,3.68731,0.41902,567.0,285.5,5302.0,5023.0,1.0
1729830967407,1729830969446,1,true,,,8.18898,7.00406,2.95046,1.62967,1.42833,2.45657,2.65901,1.92748,1.6536,2.72797,3.51277,1.24145,0.77023,1.28068,3.75967,1.50866,0.23831,0.37682,3.68731,0.41902,309.0,147.0,398.0,316.0,0.996
1729830967407,1729830970446,1,true,,,5.41801,11.62706,4.83638,1.62967,0.66549,4.29586,3.39211,1.92748,1.02068,2.40138,3.69462,1.24145,0.84068,1.56971,2.91434,1.50866,0.24786,0.45988,1.88482,0.41902,105.0,89.0,46.0,101.0,0.998
1729830967407,1729830971446,1,true,,,7.24803,3.20538,5.29785,2.77,2.15224,1.92159,2.96197,1.86144,2.13118,1.46524,4.23711,3.25334,0.50832,0.86832,1.61737,1.65649,0.26045,0.26025,0.7283,0.33029,214.0,58.0,234.0,81.0,0.999
1729830967407,1729830972446,1,true,,,18.12675,4.04055,3.3961,5.34564,10.98879,4.219,1.84876,2.57045,4.54234,2.44191,2.83146,5.06046,0.66484,0.72232,1.1155,1.54106,0.26248,0.35229,0.52428,0.46399,194.0,73.0,105.0,124.0,1.0
1729830967407,1729830973446,1,true,,,11.61475,6.69854,8.52138,7.46397,4.66445,2.88317,4.22571,2.60513,4.02115,3.54446,3.23117,5.17095,0.63636,0.69764,1.36352,1.45178,0.22467,0.25802,0.43632,0.53692,25.0,21.0,235.0,207.0,1.001
1729830967407,1729830974446,1,true,,,1.95835,1.93687,7.27914,11.01514,1.06952,0.95682,4.78234,4.13009,1.95052,2.44096,3.30933,4.70349,0.55038,0.56089,1.36619,1.36883,0.22042,0.27164,0.40197,0.48752,19.7,13.0,90.8,93.5,1.001
1729830967407,1729830975446,1,true,,,1.15985,0.69578,5.23155,6.31975,1.13136,0.53475,4.76288,4.2715,1.27635,1.40262,5.60893,7.71401,0.55331,0.47578,1.85716,1.71171,0.24039,0.34756,0.45326,0.34177,26.0,20.0,150.0,134.0,1.001
1729830967407,1729830976446,1,true,,,1.07073,1.19748,8.43024,8.97821,1.53798,0.70314,7.53841,7.17513,1.31311,0.86171,10.86951,10.17138,0.71413,0.66293,2.59024,3.03718,0.24268,0.29116,0.79378,0.43452,19.3,13.3,27.0,30.0,1.002
1729830967407,1729830977446,1,true,setting intention ,,1.4112,0.80477,4.22318,3.77842,1.12489,0.45589,2.16352,1.86466,1.72643,1.00844,4.41926,5.21123,0.69354,0.78652,1.67618,1.90805,0.24256,0.25889,0.62236,0.29915,50.0,26.0,352.0,350.0,1.002
1729830967407,1729830978446,1,true,,,3.56969,1.97433,2.25512,2.15958,1.56088,1.08743,0.53029,0.57604,1.95092,1.0508,1.18239,1.84599,0.74129,0.63406,1.0223,1.24451,0.27202,0.25412,0.59444,0.21948,39.0,37.0,656.0,662.0,1.001
