SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1729104250677,1729104251364,,1.0,2.6836,2.79747,16.50111,5.44598,1.56159,1.92377,6.18375,3.29853,1.30396,2.20147,10.28416,6.25236,1.07334,2.58988,6.40493,5.932,0.35248,1.54018,2.19883,5.00054,299.5,162.5,3241.5,2494.5,0.01929
1729104250677,1729104252353,,1.0,2.83771,6.06877,15.94332,7.38335,1.5981,1.88021,4.3866,3.18841,1.30827,2.41294,9.92869,5.18826,1.26869,2.45533,8.45971,4.95287,0.769,1.4258,5.96317,3.67021,78.5,233.0,3472.5,2737.5,0.01917
1729104250677,1729104253356,,1.0,3.12661,15.49077,15.66443,8.35204,1.30808,1.66176,3.48803,3.13335,1.70826,2.30181,9.75096,4.65621,1.49425,4.16142,9.4871,4.46331,0.89792,1.45553,7.84534,3.00505,1169.0,728.0,17653.0,16136.0,0.03015
1729104250677,1729104254358,,1.0,3.50153,16.74847,15.66443,8.35204,1.10623,1.22124,3.48803,3.13335,1.27136,1.94829,9.75096,4.65621,1.64352,4.5927,9.4871,4.46331,0.96594,1.55674,7.84534,3.00505,900.5,528.5,16521.0,15546.5,0.03735
1729104250677,1729104255355,,1.0,8.81487,9.23926,15.66443,8.35204,3.95074,1.00718,3.48803,3.13335,1.61564,2.70207,9.75096,4.65621,0.998,2.29891,9.4871,4.46331,0.20231,1.08698,7.84534,3.00505,138.0,127.0,5997.0,6232.0,0.00854
1729104250677,1729104256358,,1.0,8.432,5.90276,15.66443,8.35204,2.92366,0.75662,3.48803,3.13335,2.05886,1.80625,9.75096,4.65621,1.08413,1.90227,9.4871,4.46331,0.29485,1.07407,7.84534,3.00505,115.5,75.5,3435.0,3087.0,0.00946
1729104250677,1729104257360,,1.0,11.11383,1.37082,15.66443,8.35204,2.70937,0.94271,3.48803,3.13335,3.29836,1.58395,9.75096,4.65621,1.01108,1.22166,9.4871,4.46331,0.33668,0.44685,7.84534,3.00505,231.5,61.5,3108.5,2687.0,0.01105
1729104250677,1729104258358,,1.0,17.80456,1.35546,15.66443,8.35204,3.25648,1.153,3.48803,3.13335,3.79148,1.89456,9.75096,4.65621,1.15565,1.26747,9.4871,4.46331,0.29934,0.3176,7.84534,3.00505,337.0,82.5,4712.5,4448.5,0.01398
1729104250677,1729104259358,,1.0,8.8907,3.36811,15.66443,8.35204,2.84217,1.73753,3.48803,3.13335,3.33154,2.61963,9.75096,4.65621,1.35468,1.59259,9.4871,4.46331,0.4609,0.33211,7.84534,3.00505,132.0,86.0,3661.0,3465.5,0.00732
1729104250677,1729104260364,,1.0,11.30523,3.04747,25.71108,33.48306,5.2414,1.81564,24.47278,31.19106,4.15576,3.34985,24.67526,26.22236,1.18992,1.60572,7.08489,6.32696,0.3357,0.4671,2.348,1.22101,220.5,125.0,2074.0,1661.0,0.00958
1729104250677,1729104261362,,1.0,17.50768,8.26079,38.50941,41.04379,6.45903,6.25348,41.52472,40.13698,3.47893,7.30202,35.11451,31.4118,1.03465,2.17011,7.42629,7.44495,0.24755,1.83106,1.28313,1.20826,448.0,224.5,9163.0,8379.0,0.01361
