SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1728847225942,1728847226963,,1.0,0.77402,8.45275,1.42099,1.12107,0.96903,2.29991,2.78103,1.6007,1.03855,4.79328,7.08232,7.59608,0.63347,0.90141,1.20122,1.63488,0.22103,0.41165,0.36042,0.51107,19.5,148.0,48.0,48.0,0.00671
1728847225942,1728847227953,,1.0,1.25888,14.89581,2.33197,1.08161,0.8291,3.67416,1.53918,1.32383,0.79662,3.7046,5.42404,5.19815,0.67832,1.37899,1.03251,1.56097,0.28773,0.34142,0.38909,0.54249,23.0,169.0,49.5,47.5,0.00824
1728847225942,1728847228952,,1.0,1.67087,18.32371,2.67775,2.10767,0.7623,2.85667,1.75352,1.51534,2.55443,2.13801,5.06466,5.80332,1.09338,1.65243,1.32522,1.66676,0.33993,0.4981,0.37391,0.64706,53.0,302.0,67.0,73.5,0.00537
1728847225942,1728847229961,,1.0,1.9624,11.80336,2.53903,2.83248,1.933,1.66,2.33456,2.42834,3.73994,1.78269,5.04752,7.71169,1.97713,1.73343,2.2985,1.91748,0.41958,0.81099,0.45614,0.63307,53.0,148.0,64.0,69.0,0.00922
1728847225942,1728847230948,,1.0,1.48592,7.68954,2.02183,2.28084,0.89236,2.24004,1.2423,1.51595,1.63885,1.83421,3.29884,3.81,0.863,1.58885,1.20589,1.50316,0.26835,0.66096,0.37944,0.57256,32.5,71.5,42.0,56.0,0.00806
1728847225942,1728847231959,,1.0,2.86784,3.7808,2.43411,3.00275,1.07622,2.35948,1.49165,1.40511,1.00031,2.70341,4.37292,5.8082,0.6953,1.12488,1.26822,1.55961,0.24706,0.37786,0.3032,0.46049,75.0,119.0,99.5,112.5,0.01099
1728847225942,1728847232949,,1.0,5.88841,11.15745,6.67944,5.76856,2.91488,2.79165,3.80002,3.1022,4.4629,3.99724,6.39731,7.85004,1.10899,1.38156,1.75816,2.08812,0.26519,0.39403,0.42853,0.52086,81.0,127.0,107.5,110.5,0.00714
1728847225942,1728847233956,,1.0,3.03104,8.42416,5.20563,3.2733,1.76136,2.02318,3.01711,2.33955,4.55484,3.95972,6.20322,6.35542,1.04684,1.38792,1.71136,1.90764,0.30892,0.51402,0.51611,0.47411,23.0,59.0,45.5,52.0,0.00714
1728847225942,1728847234954,,1.0,1.00035,6.40212,1.01879,1.56226,0.57008,2.00274,1.0965,1.62313,1.07152,2.68027,7.18715,7.0382,0.74265,1.19376,1.25848,1.56081,0.33953,0.60389,0.42068,0.38822,22.5,90.0,66.0,84.0,0.00513
1728847225942,1728847235957,,1.0,1.25797,8.93973,0.91581,1.96618,0.71958,1.87225,1.49206,2.00574,2.39787,1.61926,13.95399,14.35665,0.80734,1.32651,1.34938,1.7388,0.26666,0.62466,0.43031,0.503,38.5,57.5,62.5,82.5,0.00732
