SessionTime,TimeStamp,Averaging,Valid,log,Muse_Artifact,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1729816616396,1729816615431,1,true,,,5.74897,2.63615,1.90836,32.36384,1.9317,1.29676,3.53541,30.70436,1.83959,1.79036,3.50518,19.28457,1.43764,1.3773,7.21373,8.50903,0.78343,0.54568,3.18632,2.06671,164.0,104.0,1076.0,1187.0,1.005
1729816616396,1729816616431,1,true,,,4.79457,3.5664,1.90836,32.36384,2.00309,1.86737,3.53541,30.70436,2.47674,2.52493,3.50518,19.28457,1.63787,1.81644,7.21373,8.50903,0.75539,0.28638,3.18632,2.06671,334.5,312.4,515.3,1163.5,1.004
1729816616396,1729816617431,1,true,,,7.07131,4.14438,1.90836,32.36384,3.21055,3.32109,3.53541,30.70436,2.57881,2.45578,3.50518,19.28457,1.37256,1.88508,7.21373,8.50903,0.74211,0.16117,3.18632,2.06671,341.8,141.1,6121.0,6283.8,1.007
1729816616396,1729816618431,1,true,,,7.37344,6.63957,1.90836,32.36384,3.35012,3.40424,3.53541,30.70436,2.57881,2.29066,3.50518,19.28457,1.34039,1.69742,7.21373,8.50903,0.73692,0.42536,3.18632,2.06671,302.0,132.5,5324.0,5304.5,1.008
1729816616396,1729816619431,1,true,,,7.37344,11.24605,1.90836,32.36384,3.35012,3.76574,3.53541,30.70436,2.57881,2.27976,3.50518,19.28457,1.34039,1.76226,7.21373,8.50903,0.73692,0.78397,3.18632,2.06671,325.0,2743.0,522.0,525.0,1.006
1729816616396,1729816620431,1,true,,,7.37344,4.69191,1.90836,32.36384,3.35012,1.84098,3.53541,30.70436,2.57881,1.32932,3.50518,19.28457,1.34039,1.97688,7.21373,8.50903,0.73692,1.21655,3.18632,2.06671,1347.0,13700.0,3655.0,2946.0,1.006
1729816616396,1729816621431,1,true,,,6.43695,1.89631,1.90836,32.36384,3.24422,1.22914,3.53541,30.70436,2.50035,1.05842,3.50518,19.28457,1.39175,2.33593,7.21373,8.50903,0.7536,1.57623,3.18632,2.06671,67.0,141.0,87.0,161.0,1.007
1729816616396,1729816622431,1,true,,,1.17125,2.12535,0.52295,2.74328,1.41742,1.35391,0.78181,3.25927,2.11778,1.00337,2.73338,5.88667,1.66318,1.37607,2.28455,3.3475,0.79084,0.97623,0.80353,0.97906,47.2,59.1,75.2,117.6,1.007
1729816616396,1729816623431,1,true,,,1.53289,2.12026,1.24517,1.46494,1.16875,2.33265,0.94886,1.77742,2.45974,1.58599,3.24504,4.54862,1.60842,1.04028,1.62652,1.89911,0.69113,0.5991,0.66579,0.83888,135.1,68.1,107.4,161.0,1.007
1729816616396,1729816624431,1,true,,,7.60011,2.96169,3.90895,4.32713,3.87882,1.7206,2.96162,3.69675,4.12354,2.09783,4.06705,4.62519,1.94138,1.65871,2.06115,2.11646,0.67688,0.75819,0.92332,1.04739,73.5,57.9,158.6,157.6,1.007
1729816616396,1729816625431,1,true,,,7.55771,4.69905,11.35429,7.11426,2.87819,0.84372,5.8319,4.31301,2.42125,1.72516,4.76288,3.31505,1.73444,1.34416,2.85115,2.14412,0.57048,0.91576,0.88432,0.84456,47691.0,351.0,839.0,679.0,1.007
1729816616396,1729816626431,1,true,,Blink Detected,6.43561,6.74047,23.72685,9.26531,2.83485,1.55518,8.06901,3.07567,1.38026,1.72683,4.29576,2.11568,1.50242,1.09335,2.6565,1.68407,0.58715,0.6417,1.30206,0.875,207.0,108.0,1790.0,1839.0,1.006
1729816616396,1729816627431,1,true,,,6.39278,5.18633,24.3495,9.29737,2.87886,5.89088,8.1662,3.0744,1.36468,3.64636,4.12563,2.08353,1.503,1.23498,2.69234,1.66337,0.5954,0.56951,1.38947,0.88016,60740.0,764.0,229.0,483.0,1.008
1729816616396,1729816628430,1,true,,,6.39278,6.43754,24.3495,9.29737,2.87886,6.34805,8.1662,3.0744,1.36468,3.54707,4.12563,2.08353,1.503,1.55317,2.69234,1.66337,0.5954,0.56847,1.38947,0.88016,1541.0,92.0,1581.0,1465.0,1.007
1729816616396,1729816629431,1,true,,,6.39278,4.69224,11.01666,8.79448,2.87886,2.01104,5.33482,3.12392,1.36468,2.10698,3.64435,2.32868,1.503,1.17287,2.56963,1.94437,0.5954,0.73583,1.4468,1.16711,1010.4,84.1,119.2,222.0,1.009
1729816616396,1729816630432,1,true,,,6.39278,5.82425,2.48119,7.67591,2.87886,1.36622,1.64502,3.19257,1.36468,2.39961,4.18177,6.81962,1.503,1.82066,3.36264,3.45653,0.5954,0.81967,2.52336,4.05845,380.0,201.0,779.2,2633.3,1.01
1729816616396,1729816631431,1,true,,Blink Detected - Jaw Clench,6.39278,4.87304,5.64638,10.62111,2.87886,5.52344,1.67359,2.90195,1.36468,5.10141,4.854,7.04644,1.503,3.36395,5.08253,3.53143,0.5954,1.60661,3.39891,4.26108,3247.3,3731.9,2866.7,3144.1,1.003
1729816616396,1729816632431,1,true,,,6.39278,4.66874,8.08165,12.15514,2.87886,11.07541,1.82335,2.74151,1.36468,4.93197,4.27504,6.97156,1.503,5.05801,5.72256,3.67316,0.5954,2.78221,3.47656,4.12135,47856.0,94269.0,1204.0,1223.0,1.007
1729816616396,1729816633430,1,true,,,6.39278,4.77859,8.08165,12.15514,2.87886,11.61128,1.82335,2.74151,1.36468,4.89925,4.27504,6.97156,1.503,5.2546,5.72256,3.67316,0.5954,2.91038,3.47656,4.12135,831.0,1517.0,551.0,1381.0,1.007
1729816616396,1729816634431,1,true,,,6.39278,4.77859,8.08165,15.60127,2.87886,11.61128,1.82335,4.65961,1.36468,4.89925,4.27504,8.79914,1.503,5.2546,5.72256,5.434,0.5954,2.91038,3.47656,4.73576,291.0,467.0,898.0,934.0,1.007
1729816616396,1729816635431,1,true,,,6.66392,4.77859,8.08165,27.52644,3.32568,11.61128,1.82335,15.59624,2.05088,4.89925,4.27504,15.39005,3.37513,5.2546,5.72256,13.86213,1.10925,2.91038,3.47656,6.6779,150.6,191.0,1018.1,1055.1,1.001
1729816616396,1729816636432,1,true,,,7.801,5.88681,8.08165,26.95442,3.44144,5.79469,1.82335,15.40849,4.7504,2.74063,4.27504,15.39005,5.85059,2.51044,5.72256,14.79313,1.74072,1.24271,3.47656,6.92325,229.0,84.0,313.0,276.0,1.006
1729816616396,1729816637430,1,true,,,7.19466,7.79938,20.96283,13.26203,2.33798,2.174,12.46206,8.07421,4.11908,2.27494,16.24127,8.86543,3.45446,1.31929,4.44069,6.69576,1.30413,0.8115,4.43701,3.35328,261.6,126.4,1338.5,1370.6,1.002
1729816616396,1729816638432,1,true,,,6.33826,9.5541,19.32191,13.48932,2.10165,6.61774,9.0367,4.76365,2.47486,3.75353,13.72335,9.34114,3.48626,1.63953,4.38611,5.64313,1.3322,0.83946,3.33104,2.50334,571.0,158.0,1384.0,1422.0,1.006
1729816616396,1729816639431,1,true,,,3.74844,9.84736,7.67344,10.52713,2.29932,10.36239,3.20575,2.71913,2.0985,4.16428,5.8276,7.76354,3.4011,1.68093,3.98171,4.98196,1.71179,0.58689,2.06054,2.13398,478.0,197.0,278.0,231.0,1.008
1729816616396,1729816640431,1,true,,,2.29996,1.89566,4.22056,11.82306,2.45974,0.91738,2.15477,6.72605,1.7258,2.27415,3.46466,8.31477,3.34572,2.53595,3.28398,5.60609,2.2671,0.66805,1.29742,2.73237,449.0,440.0,3065.0,2827.0,1.011
1729816616396,1729816641431,1,true,,,2.37854,2.2047,4.5458,12.97358,2.43092,1.02549,2.0808,9.67632,1.48641,2.20958,3.05141,9.80438,3.43376,3.34411,3.01766,7.09349,2.35668,0.7637,1.35092,2.82846,187.0,86.0,1582.0,1227.0,1.007
1729816616396,1729816642430,1,true,,,3.14804,2.2672,4.5458,13.04037,2.65974,2.09055,2.0808,10.97564,1.93361,2.94747,3.05141,9.4879,2.30691,1.9192,3.01766,7.72183,1.60583,0.71344,1.35092,2.75417,69.0,60.0,381.0,431.0,1.008
1729816616396,1729816643432,1,true,,,5.01037,2.14981,4.5458,13.04037,2.58851,2.77504,2.0808,10.97564,3.58146,3.0686,3.05141,9.4879,1.1559,1.32178,3.01766,7.72183,0.539,0.65608,1.35092,2.75417,682.0,3203.5,8365.5,8096.0,1.008
1729816616396,1729816644431,1,true,,,3.78294,2.36369,4.5458,13.04037,1.70341,2.89361,2.0808,10.97564,1.95691,1.96671,3.05141,9.4879,1.43453,1.14839,3.01766,7.72183,0.40071,0.72676,1.35092,2.75417,211.7,459.5,2419.1,1944.8,1.008
1729816616396,1729816645430,1,true,setting intention ,,2.54531,1.63222,2.79789,8.27828,1.47333,1.58519,2.04706,7.27713,2.10785,2.11077,3.3246,7.42284,1.87655,1.0935,2.30033,4.88675,0.90211,0.65343,1.2154,1.83793,91.5,46.6,77.0,118.1,1.007
1729816616396,1729816646431,1,true,,,2.35869,1.52591,0.69169,2.78336,2.08147,1.27394,1.46676,2.12579,3.49309,2.98793,5.43088,4.44355,2.42248,1.07895,1.26383,1.4615,1.64146,0.57707,1.06412,0.66544,106.0,157.0,2096.0,2138.0,1.007
1729816616396,1729816647431,1,true,,,3.34935,3.5093,0.49048,2.15993,3.19602,3.64552,0.85601,1.22202,3.1961,2.8835,4.89531,2.8154,2.9574,1.32749,1.25222,1.24045,1.5361,0.68003,1.03552,0.58669,228.0,81.0,260.0,182.0,1.008
1729816616396,1729816648431,1,true,,Blink Detected,4.144,5.70204,0.47924,1.83574,4.30983,4.2654,0.79741,0.98449,3.15421,5.67296,4.80784,2.42538,3.2493,2.55247,1.22098,1.22076,1.63275,1.2556,0.9496,0.54847,129.0,133.0,2550.0,2623.0,1.008
1729816616396,1729816649431,1,true,,,4.56247,9.378,0.47924,1.83574,2.79917,5.40157,0.79741,0.98449,2.55564,7.31846,4.80784,2.42538,4.69159,3.72383,1.22098,1.22076,3.185,1.49359,0.9496,0.54847,206.6,107.9,2562.0,2490.0,1.007
1729816616396,1729816650432,1,true,,,5.50136,7.0806,0.47924,1.83574,3.09678,3.70672,0.79741,0.98449,3.88276,1.88465,4.80784,2.42538,3.64225,2.68225,1.22098,1.22076,2.67954,1.31865,0.9496,0.54847,90.0,98.0,262.0,346.0,1.009
1729816616396,1729816651431,1,true,,,3.18398,4.78046,4.6203,3.093,1.25193,1.7726,3.16665,1.30239,2.62476,2.10189,6.49382,3.14666,2.26272,4.72792,2.41201,1.70404,2.14897,1.66575,1.44464,0.64074,339.4,107.9,223.4,167.4,1.007
1729816616396,1729816652431,1,true,,,3.10835,6.27509,5.70112,7.58368,0.9364,1.38452,6.36444,3.57989,1.37515,2.37684,7.34818,4.90264,1.99297,2.52319,2.93447,2.52924,2.75486,1.21445,1.34212,0.90058,64.0,60.0,102.0,144.0,1.008
1729816616396,1729816653431,1,true,,,1.66967,4.8754,2.49931,5.89753,0.74801,1.0851,2.86662,4.49055,0.90352,1.99044,3.85789,4.93822,1.70821,1.28147,1.72227,3.18933,1.89544,0.75506,0.97827,0.96543,53.0,39.0,67.0,113.0,1.008
1729816616396,1729816654431,1,true,,,2.14008,1.38784,2.92287,3.90796,1.24638,0.81613,2.59741,3.71527,1.67537,1.737,5.52599,5.427,1.72242,1.40072,1.37607,3.13473,1.1429,0.55658,0.73563,0.80616,255.0,72.0,462.0,318.0,1.007
1729816616396,1729816655432,1,true,,,8.03656,3.55648,15.81284,13.30822,4.33541,1.72457,11.87107,9.13272,2.94795,2.51739,12.77262,6.64523,2.30776,1.60557,2.30399,3.17973,0.8697,0.55617,0.61779,0.91363,109.8,65.7,119.1,137.2,1.007
1729816616396,1729816656431,1,true,,,6.99649,4.4215,6.86199,9.69059,3.24123,2.11164,4.62147,5.78416,2.8086,2.48531,8.15023,5.96843,2.4256,1.28789,1.93148,3.78512,1.04583,0.55326,0.80184,1.23288,134.0,53.0,385.0,323.0,1.007
1729816616396,1729816657431,1,true,,,6.63163,2.76752,9.69683,18.63374,4.56688,1.97638,9.71852,15.4871,5.91548,2.6614,16.19385,9.08636,2.79782,1.11939,2.63378,4.79082,1.53621,0.49319,0.89152,2.00475,128.0,147.0,1733.0,1705.0,1.007
1729816616396,1729816658431,1,true,,,8.21732,9.52686,16.12872,31.63807,4.74089,7.00148,18.04305,26.67043,4.35763,4.81138,16.18192,8.89447,2.90677,1.12264,3.90598,5.4906,1.84846,0.51426,1.00881,2.63245,201.0,68.0,233.0,208.0,1.007
1729816616396,1729816659431,1,true,,,6.72651,6.13691,14.91626,19.61598,4.79435,4.93344,17.01061,18.13343,6.80002,2.8297,14.98718,8.6882,2.53029,1.06074,2.77907,4.22241,1.49692,0.43002,1.72052,2.32108,93.0,53.0,78.0,113.0,1.008
1729816616396,1729816660431,1,true,,,3.33419,2.84656,6.28087,2.97475,3.17885,2.19493,5.98591,3.1961,5.61811,1.75715,11.05987,6.44629,2.97571,0.9389,1.89924,2.49132,1.39059,0.42592,1.16073,1.11959,265.0,68.0,208.0,218.0,1.008
1729816616396,1729816661431,1,true,,,1.80381,6.07743,6.15999,7.79884,1.72894,1.97597,4.65008,5.47192,0.83173,3.19191,6.66147,9.33104,2.41063,1.28703,2.53035,3.35637,1.14889,0.48427,1.02221,1.04964,482.0,252.0,125.0,316.0,1.008
1729816616396,1729816662430,1,true,,,1.80302,6.73876,4.40443,20.11731,1.76799,1.58343,5.53694,9.7699,0.77909,2.64795,6.06038,8.93264,2.41124,1.40559,2.47355,4.19614,1.15444,0.55022,1.23387,0.86024,61.0,38.0,78.0,112.0,1.008
1729816616396,1729816663431,1,true,,,1.23154,1.50311,2.15601,1.95263,0.9217,0.60675,2.08483,1.82142,2.18963,1.46376,4.31231,2.27452,2.46837,1.15744,2.1113,1.99017,0.41884,0.48477,0.71491,0.70524,44.0,36.4,75.2,104.2,1.007
1729816616396,1729816664431,1,true,,,0.94215,1.033,2.03021,2.02656,0.91308,1.08515,1.43133,1.53412,2.39166,1.39769,4.01328,2.04122,1.57271,0.98601,1.5775,1.47839,0.36313,0.44564,0.58043,0.5785,46.0,43.0,157.0,170.0,1.008
1729816616396,1729816665431,1,true,,,0.64167,1.25948,4.26825,3.81417,0.75105,1.47727,3.58682,3.31703,1.64592,1.23857,8.25163,5.76886,1.13553,0.91346,1.95934,2.11773,0.4814,0.5495,0.73301,0.78639,43.0,36.0,95.0,130.0,1.007
1729816616396,1729816666431,1,true,,,0.78145,0.81536,4.89114,5.29798,1.18228,1.19751,4.99885,4.74657,1.8313,1.25456,10.49857,10.6172,1.06861,0.95216,2.21845,2.1389,0.674,0.53288,0.6251,0.62842,68.0,35.0,78.0,98.0,1.008
1729816616396,1729816667431,1,true,,,2.02092,0.59655,1.5332,1.63463,1.05923,0.87601,1.25756,1.28251,1.77374,1.38625,3.31528,2.74536,1.45124,0.96354,1.3705,1.01046,0.74499,0.46659,0.54715,0.49689,54.0,49.0,109.0,123.0,1.008
1729816616396,1729816668431,1,true,,,2.15387,1.50318,3.96342,3.08028,1.29137,1.00018,2.13531,2.04334,1.9081,2.07224,2.50859,2.04296,1.19953,1.30632,1.38131,1.3011,0.49197,0.39555,0.7355,0.71308,48.0,36.0,70.0,110.0,1.008
1729816616396,1729816669431,1,true,,,1.652,2.01465,3.04278,4.22883,1.027,0.77546,1.53748,2.03011,2.00078,2.2161,2.19452,2.05513,1.18615,1.05024,1.20581,1.53419,0.49085,0.5092,0.57206,0.61752,44.5,32.0,80.0,104.9,1.007
